SN,Transaction,Transaction Price,Closing Price,Average,Investment,Portfolio,Money end,Real Time Portfolio Vlaue
1,Buy,-100,57482.47,0,100,0.001739661,4900,5000
2,Sell,100,57517.79,57482.47,0,1.07E-06,5000,5000.061445
3,Buy,-100,57617.51,0,100,0.001736652,4900,5000.061551
4,Buy,-100,57570.02,57617.51,200,0.003473667,4800,4999.979078
5,Buy,-100,57582.99,57593.75521,300,0.005210291,4700,5000.024131
6,Buy,-100,57497.34,57590.16636,400,0.006949502,4600,4999.57787
7,Buy,-100,57381.5,57566.93168,500,0.008692224,4500,4998.77284
8,Buy,-100,57391.04,57529.74953,600,0.010434656,4400,4998.855763
9,Buy,-100,57479.99,0,100,0.001739736,1900,2000
10,Buy,-100,57479.99,57506.58473,700,0.012174392,4300,4999.783926
11,Sell,700,57549.47,57502.78398,0,1.09E-05,5000,5000.629803
12,Buy,-100,57376.15,0,100,0.001753828,4900,5000.627906
13,Buy,-100,57336.73,57376.15,200,0.003497911,4800,5000.55877
14,Buy,-100,57347.06,57356.43323,300,0.005241679,4700,5000.594903
15,Buy,-100,57300.01,57353.30848,400,0.00698688,4600,5000.348282
16,Sell,400,57349.99,57339.97456,0,1.22E-05,5000,5000.697487
17,Buy,-100,57280.1,0,100,0.001757969,4900,5000.696637
18,Buy,-100,57236.06,57280.1,200,0.003505119,4800,5000.619216
19,Buy,-100,57308.56,0,100,0.00174494,1900,2000
20,Sell,200,57308.56,57258.07153,0,1.52E-05,5000,5000.873337
21,Sell,100,57331.09,57308.56,0,6.86E-07,2000,2000.039313
22,Buy,-100,57331.09,0,100,0.001759494,4900,5000.87368
23,Buy,-100,57250.27,57331.09,200,0.00350621,4800,5000.731478
24,Buy,-100,57250.27,0,100,0.001747402,1900,2000.039258
25,Sell,200,57357.01,57290.6515,0,1.93E-05,5000,5001.105731
26,Buy,-100,57395.43,0,100,0.001761577,4900,5001.106472
27,Buy,-100,57334.91,57395.43,200,0.003505715,4800,5000.999861
28,Buy,-100,57304.75,57365.15404,300,0.005250771,4700,5000.894129
29,Sell,300,57405.38,57345.00521,0,2.48E-05,5000,5001.422514
30,Buy,-100,57327.99,0,100,0.001769129,4900,5001.420596
31,Buy,-100,57272.87,57327.99,200,0.003515156,4800,5001.323082
32,Buy,-100,57227.44,57300.41674,300,0.00526257,4700,5001.163388
33,Buy,-100,57256.89,57276.07049,400,0.007009084,4600,5001.318371
34,Sell,400,57417.75,57271.27416,0,4.26E-05,5000,5002.445852
35,Buy,-100,57395.17,0,100,0.001784904,4900,5002.44489
36,Buy,-100,57304.34,57395.17,200,0.003529973,4800,5002.282767
37,Sell,200,57381.76,57349.71904,0,4.45E-05,5000,5002.556058
38,Buy,-100,57408.65,0,100,0.001786443,4900,5002.557256
39,Sell,100,57497.36,57408.65,0,4.72E-05,5000,5002.715731
40,Buy,-100,57376.18,0,100,0.001790116,4900,5002.710007
41,Sell,100,57396.58,57376.18,0,4.79E-05,5000,5002.746526
42,Buy,-100,57397.41,0,100,0.001790091,4900,5002.746565
43,Buy,-100,57332.52,57397.41,200,0.003534301,4800,5002.630406
44,Buy,-100,57275.87,57364.94665,300,0.005280237,4700,5002.430188
45,Buy,-100,57245.3,57335.22366,400,0.007027106,4600,5002.268771
46,Buy,-100,57175.06,57312.71627,500,0.00877612,4500,5001.775187
47,Buy,-100,57160.95,57285.13202,600,0.010525566,4400,5001.651356
48,Buy,-100,57122.92,57264.39756,700,0.012276177,4300,5001.251069
49,Buy,-100,57175,57244.14359,800,0.014025193,4200,5001.890412
50,Buy,-100,57079.96,57235.49149,900,0.015777121,4100,5000.557458
51,Buy,-100,57055.55,57218.16837,1000,0.017529799,4000,5000.172338
52,Buy,-100,57189.74,57201.86483,1100,0.019278365,3900,5002.524662
53,Buy,-100,57135.67,57200.76236,1200,0.021028585,3800,5001.482281
54,Buy,-100,56831.59,57195.33234,1300,0.02278817,3700,4995.087909
55,Buy,-100,56913.41,57167.18693,1400,0.024545225,3600,4996.952437
56,Buy,-100,56912.13,57148.98498,1500,0.026302319,3500,4996.921019
57,Buy,-100,57090,57133.13333,1600,0.02805394,3400,5001.599413
58,Sell,1600,57211.03,57130.43558,0,8.73E-05,5000,5004.994781
59,Buy,-100,57185.73,0,100,0.001835993,4900,5004.992572
60,Sell,100,57232.17,57185.73,0,8.87E-05,5000,5005.077836
4,Buy,-100,57196.29,0,100.0,0.0017484168828575928,1900.0,2000.0029590728188
