SN,Transaction,Transaction Price,Closing Price,Average,Investment,Portfolio,Money end,Real Time Portfolio Vlaue
1,Buy,-100,57314.68,0,100,0.0017447537000991717,1900.0,2000.0
2,Sell,100.0,57315.01,57314.68,0.0,1.004568822419484e-08,2000.0,2000.000575768721
3,Buy,-100,57330.64,0,100.0,0.001744278032230848,1900.0,2000.0005759257351
4,Sell,100.0,57361.72,57330.64,0.0,9.55133266172586e-07,2000.0,2000.054788086977
5,Buy,-100,57384.67,0,100.0,0.0017435808205795266,1900.0,2000.0548100072854
6,Sell,100.0,57416.02,57384.67,0.0,1.9066327831588573e-06,2000.0,2000.1094712660106
7,Buy,-100,57371.48,0,100.0,0.0017449329587555756,1900.0,2000.1093863445863
8,Buy,-100,57363.1,57371.48,200.0,0.003488213918117953,1800.0,2000.094763806392
9,Sell,200.0,57372.55,57367.28969397021,0.0,2.226281173107938e-06,2000.0,2000.1277274279182
10,Buy,-100,57402.07,0,100.0,0.0017443237351499419,1900.0,2000.1277931477384
11,Buy,-100,57394.79,57402.07,200.0,0.003486642158128752,1800.0,2000.1150944709466
12,Buy,-100,57351.43,57398.42976916442,300.0,0.005230277844283395,1700.0,1999.96391366697
13,Buy,-100,57350.0,57382.75462255064,400.0,0.006973957007317397,1600.0,1999.9564343696527
14,Buy,-100,57366.89,57374.56245978962,500.0,0.008717122795108926,1500.0,2000.0742245035062
15,Buy,-100,57314.4,57373.02780365319,600.0,0.010461885018913066,1400.0,1999.616662727991
16,Buy,-100,57337.53,57363.248175116205,700.0,0.012205943404406826,1300.0,1999.8586461284785
17,Buy,-100,57288.01,57359.572737663984,800.0,0.013951509361402015,1200.0,1999.2542078110923
18,Buy,-100,57260.01,57350.61761947353,900.0,0.015697928895733217,1100.0,1998.863565548973
19,Buy,-100,57302.85,57340.5359480445,1000.0,0.017443042794954636,1000.0,1999.5360648228661
20,Buy,-100,57278.26,57336.76512276886,1100.0,0.019188905885069454,900.0,1999.1071404005384
21,Buy,-100,57233.61,57331.441537003455,1200.0,0.02093613098584503,800.0,1998.25035575277
22,Buy,-100,57307.4,57323.27613644816,1300.0,0.022681106329343427,700.0,1999.7952328582155
23,Sell,1300.0,57342.01,57322.05458288849,0.0,1.0118688693928207e-05,2000.0,2000.5802259482741
24,Buy,-100,57309.41,0,100.0,0.0017550328310660097,1900.0,2000.5798960790228
25,Sell,100.0,57315.09,57309.41,0.0,1.0291611955998625e-05,2000.0,2000.5898646655032
26,Buy,-100,57297.75,0,100.0,0.001755560841550529,1900.0,2000.589686208952
27,Buy,-100,57270.01,57297.75,200.0,0.0035016754310189086,1800.0,2000.5409869512073
28,Buy,-100,57282.58,57283.876641692215,300.0,0.005247406855825543,1700.0,2000.5850030113752
29,Buy,-100,57260.65,57283.4444212725,400.0,0.0069938068704953026,1600.0,2000.4699273790268
30,Buy,-100,57229.85,57277.74411474049,500.0,0.008741146763925043,1500.0,2000.2545181274156
31,Sell,500.0,57269.89,57268.15887985915,0.0,1.0555523047855661e-05,2000.0,2000.6045136438431
32,Buy,-100,57328.93,0,100.0,0.0017548755373931434,1900.0,2000.605136841924
33,Sell,100.0,57393.47,57328.93,0.0,1.251704260270812e-05,2000.0,2000.7183965091072
34,Buy,-100,57450.0,0,100.0,0.001753161080896877,1900.0,2000.7191040975256
35,Sell,100.0,57462.78,57450.0,0.0,1.290417024967178e-05,2000.0,2000.7415094961395
36,Buy,-100,57500.07,0,100.0,0.0017520324878325896,1900.0,2000.741990692648
37,Buy,-100,57461.75,57500.07,200.0,0.0034923205925283217,1800.0,2000.6748528077144
38,Sell,200.0,57729.38,57480.90361343444,0.0,2.7880129110907387e-05,2000.0,2001.6095025678926
39,Buy,-100,57845.85,0,100.0,0.001756612613809464,1900.0,2001.6127497665302
40,Sell,100.0,57984.2,57845.85,0.0,3.200487583946516e-05,2000.0,2001.8557771216508
41,Buy,-100,57981.44,0,100.0,0.0017566947076201177,1900.0,2001.8556887881934
42,Sell,100.0,58064.05,57981.44,0.0,3.445865966962168e-05,2000.0,2002.00080933799
43,Buy,-100,58114.11,0,100.0,0.0017552111585033817,1900.0,2002.002534338493
44,Sell,100.0,58296.36,58114.11,0.0,3.9838191820727644e-05,2000.0,2002.3224215721302
45,Buy,-100,58532.42,0,100.0,0.0017482930959576146,1900.0,2002.3318257756914
46,Buy,-100,58459.54,58532.42,200.0,0.0034588778867376997,1800.0,2002.204410174858
47,Sell,200.0,58499.44,58495.95729974607,0.0,4.004174061390808e-05,2000.0,2002.3424194025388
48,Buy,-100,58346.38,0,100.0,0.0017539441283884367,1900.0,2002.3362906137204
49,Sell,100.0,58381.03,58346.38,0.0,4.105896688991564e-05,2000.0,2002.3970647777692
50,Buy,-100,58294.22,0,100.0,0.0017564949054786813,1900.0,2002.3935004488535
51,Buy,-100,58273.94,58294.22,200.0,0.0034725278354641948,1800.0,2002.3578787321703
52,Sell,200.0,58304.62,58284.07823588877,0.0,4.2267934962313645e-05,2000.0,2002.4644158861624
53,Buy,-100,58244.49,0,100.0,0.0017591685379206364,1900.0,2002.4618743152332
54,Sell,100.0,58287.13,58244.49,0.0,4.352393507263191e-05,2000.0,2002.53688526169
55,Buy,-100,58279.94,0,100.0,0.0017593801971072186,1900.0,2002.5365723245968
56,Buy,-100,58197.25,58279.94,200.0,0.00347767444640594,1800.0,2002.3910891760981
