SN,DateTime,Transaction,Transaction Price,Closing Price,Average,Investment,Portfolio,Money end,Real Time Portfolio Vlaue
1,11-05-2021 08:32,Buy,-100,55354.96,0,100,0.001806523,1900,2000
2,11-05-2021 08:33,Buy,-100,55293.07,55354.96,200,0.003615068,1800,1999.888194
3,11-05-2021 08:34,Buy,-100,55288.58,55323.99769,300,0.00542376,1700,1999.871963
4,11-05-2021 08:35,Sell,300,55372.88,55312.18675,0,5.94E-06,2000,2000.329186
5,11-05-2021 08:36,Buy,-100,55396.32,0,100,0.001811119,1900,2000.329325
6,11-05-2021 08:37,Buy,-100,55391.71,55396.32,200,0.003616443,1800,2000.320976
7,11-05-2021 08:38,Sell,200,55400.04,55394.0149,0,6.34E-06,2000,2000.351101
8,11-05-2021 08:39,Buy,-100,55424.93,0,100,0.00181058,1900,2000.351258
9,11-05-2021 08:40,Sell,100,55466.03,55424.93,0,7.67E-06,2000,2000.425673
10,11-05-2021 08:41,Buy,-100,55479.42,0,100,0.001810145,1900,2000.425776
11,11-05-2021 08:42,Buy,-100,55413.01,55479.42,200,0.003614775,1800,2000.305564
12,11-05-2021 08:43,Buy,-100,55441.78,55446.19511,300,0.005418469,1700,2000.409561
13,11-05-2021 08:44,Buy,-100,55391.64,55444.72333,400,0.007223795,1600,2000.137879
14,11-05-2021 08:45,Sell,400,55525.04,55431.44296,0,1.98E-05,2000,2001.101534
15,11-05-2021 08:46,Buy,-100,55554.01,0,100,0.001819889,1900,2001.102108
16,11-05-2021 08:47,Buy,-100,55542.03,55554.01,200,0.003620327,1800,2001.080306
17,11-05-2021 08:48,Buy,-100,55463.78,55548.01935,300,0.005423305,1700,2000.797016
18,11-05-2021 08:49,Buy,-100,55448.29,55519.91115,400,0.007226787,1600,2000.713009
19,11-05-2021 08:50,Buy,-100,55369.02,55501.98852,500,0.009032852,1500,2000.140141
20,11-05-2021 08:51,Buy,-100,55324.1,55475.34375,600,0.010840382,1400,1999.734385
21,11-05-2021 08:52,Buy,-100,55288.13,55450.07906,700,0.012649089,1300,1999.344457
22,11-05-2021 08:53,Buy,-100,55269.46,55426.88542,800,0.014458406,1200,1999.108298
23,11-05-2021 08:54,Buy,-100,55325.37,55407.15821,900,0.016265895,1100,1999.916668
24,11-05-2021 08:55,Buy,-100,55246.34,55398.05869,1000,0.01807597,1000,1998.631174
25,11-05-2021 08:56,Buy,-100,55268.63,55382.84934,1100,0.019885314,900,1999.034087
26,11-05-2021 08:57,Buy,-100,55320,55372.44626,1200,0.021692979,800,2000.055596
27,11-05-2021 08:58,Buy,-100,55275.32,55368.07194,1300,0.023502105,700,1999.086354
28,11-05-2021 08:59,Buy,-100,55341.27,55360.92612,1400,0.025309074,600,2000.636318
29,11-05-2021 09:00,Sell,1400,55369.78,55359.52165,0,2.45E-05,2000,2001.357879
30,11-05-2021 09:01,Buy,-100,55417.64,0,100,0.001829003,1900,2001.359053
31,11-05-2021 09:02,Sell,100,55427.96,55417.64,0,2.49E-05,2000,2001.377928
32,11-05-2021 09:03,Buy,-100,55340.47,0,100,0.001831856,1900,2001.375753
33,11-05-2021 09:04,Sell,100,55419.01,55340.47,0,2.74E-05,2000,2001.519627
34,11-05-2021 09:05,Buy,-100,55450,0,100,0.001830847,1900,2001.520477
35,11-05-2021 09:06,Buy,-100,55444.89,55450,200,0.00363444,1800,2001.511121
36,11-05-2021 09:07,Sell,200,55486.1,55447.44488,0,2.99E-05,2000,2001.660897
37,11-05-2021 09:08,Buy,-100,55419.27,0,100,0.00183436,1900,2001.658896
38,11-05-2021 09:09,Buy,-100,55413.5,55419.27,200,0.003638974,1800,2001.648312
39,11-05-2021 09:10,Sell,200,55464.79,55416.38485,0,3.31E-05,2000,2001.834955
40,11-05-2021 09:11,Buy,-100,55536.23,0,100,0.00183371,1900,2001.837318
41,11-05-2021 09:12,Buy,-100,55533.58,55536.23,200,0.003634422,1800,2001.832459
42,11-05-2021 09:13,Buy,-100,55512.38,55534.90497,300,0.005435822,1700,2001.755409
43,11-05-2021 09:14,Buy,-100,55520,55527.39461,400,0.007236975,1600,2001.79683
44,11-05-2021 09:15,Sell,400,55539.28,55525.54578,0,3.49E-05,2000,2001.936359
45,11-05-2021 09:16,Buy,-100,55494.13,0,100,0.001836857,1900,2001.934785
46,11-05-2021 09:17,Buy,-100,55478.01,55494.13,200,0.003639373,1800,2001.905175
47,11-05-2021 09:18,Sell,200,55567.53,55486.06883,0,4.01E-05,2000,2002.230972
48,11-05-2021 09:19,Buy,-100,55639.99,0,100,0.001837417,1900,2002.233881
49,11-05-2021 09:20,Buy,-100,55595.53,55639.99,200,0.003636123,1800,2002.152189
50,11-05-2021 09:21,Sell,200,55667.74,55617.75111,0,4.34E-05,2000,2002.414754
51,11-05-2021 09:22,Buy,-100,55652.16,0,100,0.001840253,1900,2002.414078
52,11-05-2021 09:23,Sell,100,55661.47,55652.16,0,4.37E-05,2000,2002.431211
53,11-05-2021 09:24,Buy,-100,55715.77,0,100,0.001838502,1900,2002.433582
54,11-05-2021 09:25,Buy,-100,55669.41,55715.77,200,0.003634821,1800,2002.348349
55,11-05-2021 09:26,Buy,-100,55611.85,55692.58035,300,0.005432999,1700,2002.139129
56,11-05-2021 09:27,Buy,-100,55612.64,55665.6442,400,0.007231151,1600,2002.143421
57,11-05-2021 09:28,Buy,-100,55548.79,55652.38368,500,0.009031371,1500,2001.681712
58,11-05-2021 09:29,Buy,-100,55454.57,55631.63405,600,0.010834649,1400,2000.830776
59,11-05-2021 09:30,Buy,-100,55564.98,55602.04489,700,0.012634343,1300,2002.02703
60,11-05-2021 09:31,Buy,-100,55550.79,55596.74688,800,0.014434498,1200,2001.847749
61,11-05-2021 09:32,Sell,800,55632.2,55590.99811,0,5.43E-05,2000,2003.022861
62,11-05-2021 09:33,Buy,-100,55655.99,0,100,0.001851088,1900,2003.024154
63,11-05-2021 09:34,Buy,-100,55650,55655.99,200,0.003648034,1800,2003.013066
64,11-05-2021 09:35,Sell,200,55666.06,55652.99484,0,5.52E-05,2000,2003.071653
65,11-05-2021 09:36,Buy,-100,55702.8,0,100,0.001850422,1900,2003.07368
66,11-05-2021 09:37,Sell,100,55716.16,55702.8,0,5.56E-05,2000,2003.098402
