SN,DateTime,Transaction,Transaction Price,Closing Price,Average,Investment,Portfolio,Money end,Real Time Portfolio Vlaue
1,2021-05-14 15:59:00,Buy,-100,51211.98,0,100,0.0019526681061735945,1900.0,2000.0
2,2021-05-14 16:00:00,Sell,100.0,51290.02,51211.98,0.0,2.9710695961082233e-06,2000.0,2000.1523862190058
3,2021-05-14 16:01:00,Buy,-100,51202.11,0,100.0,0.0019560155828007397,1900.0,2000.1521250322776
4,2021-05-14 16:02:00,Buy,-100,51151.98,51202.11,200.0,0.003910974120085122,1800.0,2000.0540699711119
5,2021-05-14 16:03:00,Buy,-100,51117.44,51177.03272390581,300.0,0.005867253620779993,1700.0,1999.918984925004
6,2021-05-14 16:04:00,Buy,-100,51153.35,51157.153050109395,400.0,0.007822159799945189,1600.0,2000.1296780025261
7,2021-05-14 16:05:00,Buy,-100,51118.23,51156.20223456895,500.0,0.009778409067574368,1500.0,1999.854963750352
8,2021-05-14 16:06:00,Sell,500.0,51196.3,51148.60327520968,0.0,1.207829757731739e-05,2000.0,2000.6183641462576
9,2021-05-14 16:07:00,Buy,-100,51200.01,0,100.0,0.0019652029161076655,1900.0,2000.6184089567416
10,2021-05-14 16:08:00,Buy,-100,51146.15,51200.01,200.0,0.0039203842933960825,1800.0,2000.51256312768
11,2021-05-14 16:09:00,Sell,200.0,51177.06,51173.06582799981,0.0,1.2383325775042718e-05,2000.0,2000.6337422061888
12,2021-05-14 16:10:00,Buy,-100,51179.18,0,100.0,0.001966302868839234,1900.0,2000.6337684588395
13,2021-05-14 16:11:00,Buy,-100,51135.37,51179.18,200.0,0.003921896423750444,1800.0,2000.5476247301558
14,2021-05-14 16:12:00,Buy,-100,51148.91,51157.26562051244,300.0,0.005876972299267634,1700.0,2000.6007272077334
15,2021-05-14 16:13:00,Buy,-100,51143.33,51154.480110366254,400.0,0.007832261483605064,1600.0,2000.5679337023034
16,2021-05-14 16:14:00,Buy,-100,51132.13,51151.692127003436,500.0,0.00978797895518311,1500.0,2000.480212373687
17,2021-05-14 16:15:00,Sell,500.0,51156.48,51147.778504242,0.0,1.4046112266631952e-05,2000.0,2000.7185496612458
18,2021-05-14 16:16:00,Buy,-100,51126.04,0,100.0,0.001969996543788416,1900.0,2000.7181220975883
19,2021-05-14 16:17:00,Sell,100.0,51164.2,51126.04,0.0,1.550492660296228e-05,2000.0,2000.7932971656992
20,2021-05-14 16:18:00,Buy,-100,51233.1,0,100.0,0.0019673680775737215,1900.0,2000.7943654551423
21,2021-05-14 16:19:00,Sell,100.0,51305.0,51233.1,0.0,1.824031224870442e-05,2000.0,2000.9358192199197
22,2021-05-14 16:20:00,Buy,-100,51218.86,0,100.0,0.0019706461252636757,1900.0,2000.9342479994227
23,2021-05-14 16:21:00,Buy,-100,51158.65,51218.86,200.0,0.003925349777529714,1800.0,2000.8155953962205
24,2021-05-14 16:22:00,Buy,-100,51135.11,51188.737294724204,300.0,0.005880953275791476,1700.0,2000.7231926624574
25,2021-05-14 16:23:00,Buy,-100,51122.24,51170.8490361966,400.0,0.007837049096318903,1600.0,2000.6475047937981
26,2021-05-14 16:24:00,Buy,-100,51096.96,51158.68811307265,500.0,0.009794112686794736,1500.0,2000.4493841926433
27,2021-05-14 16:25:00,Buy,-100,51084.32,51146.33056195344,600.0,0.011751660521433623,1400.0,2000.325586608282
28,2021-05-14 16:26:00,Buy,-100,51020.63,51135.98501571777,700.0,0.013711651999390676,1300.0,1999.5771233496719
29,2021-05-14 16:27:00,Buy,-100,50965.62,51119.47380193759,800.0,0.015673759004073442,1200.0,1998.8228453731854
30,2021-05-14 16:28:00,Buy,-100,51011.07,51100.19129661654,900.0,0.01763411780462399,1100.0,1999.5352177199206
31,2021-05-14 16:29:00,Buy,-100,51024.52,51090.27355518048,1000.0,0.019593959857033303,1000.0,1999.7723966043927
